shipment_id,region,transport_mode,warehouse,shipment_volume_kg,delivery_time_days,distance_km,transport_cost,fuel_cost,on_time_delivery
SHP-0001,West,Sea,WH-C,74.2,10.72,520.31,564.87,10.0,1
SHP-0002,Central,Rail,WH-A,60.62,7.33,614.2,643.88,59.9,1
SHP-0003,East,Rail,WH-A,35.05,6.18,450.19,319.66,10.0,1
SHP-0004,Central,Sea,WH-C,89.31,9.78,468.85,662.3,26.66,1
SHP-0005,Central,Air,WH-D,93.11,6.03,444.67,2304.16,38.15,1
SHP-0006,South,Road,WH-C,60.62,5.89,785.05,800.04,49.5,1
SHP-0007,East,Rail,WH-D,131.89,9.77,602.45,934.91,32.24,1
SHP-0008,East,Rail,WH-A,85.79,7.13,547.78,663.2,10.0,1
SHP-0009,East,Road,WH-A,61.87,5.02,267.72,646.97,10.0,1
SHP-0010,Central,Air,WH-D,42.0,4.0,410.87,1039.99,25.41,1
SHP-0011,West,Sea,WH-A,95.25,9.16,758.51,655.32,29.91,1
SHP-0012,East,Sea,WH-D,105.29,10.42,501.75,585.81,30.65,1
SHP-0013,Central,Road,WH-B,68.61,6.07,676.26,767.28,47.42,1
SHP-0014,South,Road,WH-C,90.52,6.56,1150.47,796.22,77.71,1
SHP-0015,West,Sea,WH-B,161.2,11.7,811.21,1065.7,26.22,1
SHP-0016,South,Sea,WH-D,123.01,11.67,515.28,717.5,61.29,1
SHP-0017,West,Road,WH-C,30.47,6.15,385.57,405.06,32.72,1
SHP-0018,Central,Sea,WH-D,61.56,10.95,144.65,446.3,10.0,1
SHP-0019,North,Sea,WH-C,80.28,9.31,454.49,632.01,41.34,1
SHP-0020,West,Road,WH-C,87.86,6.05,421.37,688.27,58.66,1
SHP-0021,South,Rail,WH-C,91.37,9.52,594.29,763.74,11.11,1
SHP-0022,Central,Road,WH-C,102.44,7.67,457.66,1101.75,21.79,1
SHP-0023,West,Road,WH-D,81.44,4.69,422.51,817.18,10.0,1
SHP-0024,North,Road,WH-C,85.69,6.75,209.74,1090.9,14.43,1
SHP-0025,North,Air,WH-C,125.75,1.99,313.82,2722.53,22.74,1
SHP-0026,East,Road,WH-B,96.05,6.58,619.43,1100.45,33.48,1
SHP-0027,East,Road,WH-A,50.34,7.89,1122.86,652.26,51.94,1
SHP-0028,South,Road,WH-A,89.06,5.31,470.21,1055.24,10.0,1
SHP-0029,West,Road,WH-B,80.38,5.29,576.72,798.69,37.32,1
SHP-0030,West,Sea,WH-B,34.93,10.51,778.36,280.34,64.64,1
SHP-0031,East,Road,WH-D,91.03,4.66,333.88,1047.37,10.0,1
SHP-0032,West,Road,WH-D,53.22,5.03,587.61,634.44,38.92,1
SHP-0033,West,Air,WH-D,126.56,4.96,345.35,2734.56,10.0,1
SHP-0034,North,Road,WH-B,101.82,5.9,746.29,1024.98,47.9,1
SHP-0035,East,Road,WH-B,49.14,5.41,529.89,599.0,23.24,1
SHP-0036,Central,Road,WH-C,124.09,7.89,568.65,1396.31,19.84,1
SHP-0037,East,Road,WH-D,148.68,7.96,338.44,1494.61,10.0,1
SHP-0038,Central,Road,WH-D,76.18,6.48,691.85,578.06,32.15,1
