shipment_id,region,transport_mode,warehouse,shipment_volume_kg,distance_km,transport_cost,delivery_time_days
SHP-0001,West,Road,WH-B,61.95,476.3,537.38,3.57
SHP-0002,Central,Road,WH-A,87.31,338.83,993.34,3.48
SHP-0003,East,Sea,WH-C,84.82,752.17,295.91,5.72
SHP-0004,Central,Road,WH-C,117.14,367.31,1124.87,3.72
SHP-0005,Central,Road,WH-B,38.48,708.48,488.45,2.88
SHP-0006,South,Air,WH-B,61.55,492.16,1571.26,1.46
SHP-0007,East,Road,WH-C,111.72,841.99,1142.83,5.64
SHP-0008,East,Sea,WH-A,91.99,298.74,456.6,4.77
SHP-0009,East,Road,WH-C,78.92,319.43,778.46,4.68
SHP-0010,Central,Sea,WH-D,46.34,430.57,327.54,5.81
SHP-0011,West,Air,WH-D,125.78,448.06,2837.55,1.99
SHP-0012,East,Rail,WH-B,83.37,415.64,529.13,4.67
SHP-0013,Central,Sea,WH-A,85.37,1742.53,612.83,7.44
SHP-0014,South,Road,WH-A,92.0,1326.58,943.17,4.67
SHP-0015,West,Sea,WH-D,96.0,568.81,349.64,7.94
SHP-0016,South,Road,WH-C,58.75,601.93,478.68,2.95
SHP-0017,West,Road,WH-B,86.15,439.88,837.49,2.67
SHP-0018,Central,Road,WH-C,110.32,297.7,1080.11,3.85
SHP-0019,North,Road,WH-C,58.66,451.51,669.83,3.79
SHP-0020,West,Road,WH-C,144.54,713.47,1481.48,4.37
SHP-0021,South,Sea,WH-A,130.57,922.14,667.73,7.11
SHP-0022,Central,Sea,WH-D,73.92,794.68,477.13,7.31
SHP-0023,West,Sea,WH-A,76.49,238.72,364.33,5.35
SHP-0024,North,Road,WH-D,41.34,428.88,323.78,3.85
SHP-0025,North,Rail,WH-B,107.62,243.46,598.31,5.46
SHP-0026,East,Road,WH-B,101.4,863.54,1134.67,4.24
SHP-0027,East,Road,WH-C,66.58,404.26,485.22,2.28
SHP-0028,South,Road,WH-D,141.99,481.73,1371.4,4.43
SHP-0029,West,Road,WH-D,87.24,620.44,1116.94,5.86
SHP-0030,West,Air,WH-D,46.13,1858.91,1200.3,4.13
SHP-0031,East,Rail,WH-C,66.33,560.47,459.31,5.33
SHP-0032,West,Road,WH-C,43.2,439.5,310.77,3.33
SHP-0033,West,Road,WH-B,300.73,271.59,3008.03,5.78
SHP-0034,North,Road,WH-A,43.06,992.42,585.54,4.69
SHP-0035,East,Road,WH-D,81.94,451.61,869.3,3.95
SHP-0036,Central,Sea,WH-D,62.91,1091.63,370.39,7.97
SHP-0037,East,Road,WH-A,35.67,837.73,451.62,4.18
SHP-0038,Central,Road,WH-D,161.08,394.56,1549.94,3.31
SHP-0039,North,Road,WH-C,59.17,252.57,504.45,4.11
SHP-0040,South,Air,WH-C,115.89,561.62,2670.98,1.55
SHP-0041,West,Sea,WH-D,51.77,366.81,258.25,5.17
SHP-0042,North,Air,WH-C,114.16,502.14,2593.37,3.72
SHP-0043,West,Rail,WH-C,34.03,815.29,276.73,5.05
