region,transport_mode,warehouse,shipment_volume_kg,distance_km,transport_cost,predicted_delivery_days,cost_norm,time_norm,optimization_score
Central,Road,WH-C,70,300,700,3.4962311209270056,0.14285714285714285,0.22752352501441334,0.1851903339357781
North,Air,WH-D,70,2000,450,4.787942276586792,0.0,0.4259817992372012,0.2129908996186006
North,Rail,WH-A,140,300,450,4.926764928916192,0.0,0.4473104870662155,0.22365524353310776
Central,Air,WH-C,140,1400,1000,3.8511764462522677,0.3142857142857143,0.28205726221939775,0.298171488252556
East,Air,WH-A,70,600,1500,2.2834342847905935,0.6,0.041189632930351355,0.3205948164651757
West,Air,WH-C,140,600,1500,2.4757945450260124,0.6,0.07074382939919592,0.33537191469959793
Central,Rail,WH-C,100,300,1000,4.583959944673209,0.3142857142857143,0.3946419897247317,0.354463852005223
Central,Sea,WH-B,70,300,700,5.919933377056508,0.14285714285714285,0.59990071233974,0.3713789275984414
North,Sea,WH-A,100,300,700,6.182885243341165,0.14285714285714285,0.640300590716465,0.39157886678680387
West,Road,WH-A,70,2000,700,6.476375514805055,0.14285714285714285,0.6853923842809094,0.41412476356902617
